test-1	TRUE	FALSE
test-2	FALSE	TRUE
test-3	FALSE	TRUE
test-4	FALSE	TRUE
test-5	TRUE	FALSE
test-6	FALSE	TRUE
test-7	TRUE	FALSE
test-8	FALSE	TRUE
test-9	FALSE	TRUE
test-10	TRUE	FALSE
test-11	FALSE	TRUE
test-12	FALSE	TRUE
test-13	TRUE	FALSE
test-14	FALSE	TRUE
test-15	TRUE	FALSE
test-16	TRUE	FALSE
test-17	FALSE	TRUE
test-18	TRUE	FALSE
test-19	FALSE	TRUE
test-20	TRUE	FALSE
test-21	FALSE	TRUE
test-22	FALSE	TRUE
test-23	TRUE	FALSE
test-24	FALSE	TRUE
test-25	FALSE	TRUE
test-26	FALSE	TRUE
test-27	FALSE	FALSE
test-28	FALSE	TRUE
test-29	FALSE	TRUE
test-30	FALSE	TRUE
test-31	FALSE	TRUE
test-32	FALSE	TRUE
test-33	FALSE	TRUE
test-34	TRUE	FALSE
test-35	FALSE	TRUE
test-36	FALSE	TRUE
test-37	FALSE	TRUE
test-38	FALSE	FALSE
test-39	FALSE	TRUE
test-40	TRUE	FALSE
test-41	FALSE	TRUE
test-42	FALSE	TRUE
test-43	FALSE	TRUE
test-44	FALSE	TRUE
test-45	FALSE	TRUE
test-46	TRUE	FALSE
test-47	FALSE	TRUE
test-48	TRUE	FALSE
test-49	FALSE	TRUE
test-50	FALSE	TRUE
test-51	FALSE	FALSE
test-52	TRUE	FALSE
test-53	TRUE	FALSE
test-54	FALSE	TRUE
test-55	TRUE	FALSE
test-56	FALSE	FALSE
test-57	FALSE	TRUE
test-58	FALSE	TRUE
test-59	FALSE	TRUE
test-60	TRUE	FALSE
test-61	TRUE	FALSE
test-62	TRUE	FALSE
test-63	FALSE	TRUE
test-64	FALSE	TRUE
test-65	TRUE	FALSE
test-66	FALSE	TRUE
test-67	FALSE	TRUE
test-68	TRUE	FALSE
test-69	TRUE	FALSE
test-70	FALSE	TRUE
test-71	FALSE	TRUE
test-72	FALSE	TRUE
test-73	TRUE	FALSE
test-74	TRUE	FALSE
test-75	FALSE	TRUE
test-76	FALSE	TRUE
test-77	TRUE	FALSE
test-78	FALSE	TRUE
test-79	FALSE	TRUE
test-80	FALSE	TRUE
test-81	TRUE	TRUE
test-82	FALSE	TRUE
test-83	FALSE	TRUE
test-84	FALSE	TRUE
test-85	FALSE	TRUE
test-86	TRUE	FALSE
test-87	FALSE	TRUE
test-88	TRUE	FALSE
